Date,OpenAUS,HighAUS,LowAUS,CloseAUS
06/28/2024,"1.5044","1.5108","1.4959","1.4993"
06/27/2024,"1.5035","1.5063","1.4986","1.5047"
06/26/2024,"1.5043","1.5083","1.4948","1.5043"
06/25/2024,"1.5020","1.5074","1.4984","1.5045"
06/24/2024,"1.4998","1.5094","1.4997","1.5024"
06/21/2024,"1.5026","1.5081","1.4990","1.5061"
06/20/2024,"1.4990","1.5045","1.4970","1.5024"
06/19/2024,"1.5025","1.5033","1.4975","1.4991"
06/18/2024,"1.5124","1.5152","1.5017","1.5026"
06/17/2024,"1.5127","1.5189","1.5094","1.5119"
06/14/2024,"1.5072","1.5173","1.5053","1.5115"
06/13/2024,"1.5006","1.5095","1.4979","1.5067"
06/12/2024,"1.5135","1.5159","1.4912","1.5007"
06/11/2024,"1.5129","1.5180","1.5117","1.5136"
06/10/2024,"1.5175","1.5210","1.5124","1.5129"
06/07/2024,"1.5000","1.5203","1.4966","1.5177"
06/06/2024,"1.5043","1.5077","1.4961","1.5002"
06/05/2024,"1.5042","1.5095","1.5004","1.5047"
06/04/2024,"1.4950","1.5083","1.4928","1.5038"
06/03/2024,"1.5009","1.5079","1.4934","1.4950"
05/31/2024,"1.5077","1.5093","1.4984","1.5033"
05/30/2024,"1.5129","1.5175","1.5040","1.5078"
05/29/2024,"1.5040","1.5133","1.4998","1.5129"
05/28/2024,"1.5029","1.5056","1.4968","1.5040"
05/27/2024,"1.5095","1.5103","1.5013","1.5031"
05/24/2024,"1.5138","1.5172","1.5065","1.5095"
05/23/2024,"1.5113","1.5159","1.5026","1.5134"
05/22/2024,"1.5004","1.5136","1.4957","1.5108"
05/21/2024,"1.4998","1.5045","1.4970","1.5002"
05/20/2024,"1.4921","1.5011","1.4903","1.5000"
05/17/2024,"1.4975","1.5043","1.4921","1.4944"
05/16/2024,"1.4943","1.5031","1.4892","1.4975"
05/15/2024,"1.5095","1.5104","1.4934","1.4941"
05/14/2024,"1.5134","1.5200","1.5085","1.5088"
05/13/2024,"1.5099","1.5186","1.5077","1.5131"
05/10/2024,"1.5108","1.5163","1.5094","1.5140"
05/09/2024,"1.5195","1.5233","1.5101","1.5104"
05/08/2024,"1.5154","1.5251","1.5147","1.5198"
05/07/2024,"1.5101","1.5184","1.5051","1.5157"
05/06/2024,"1.5147","1.5147","1.5063","1.5097"
05/03/2024,"1.5232","1.5242","1.5043","1.5129"
05/02/2024,"1.5333","1.5349","1.5209","1.5233"
05/01/2024,"1.5447","1.5468","1.5291","1.5333"
04/30/2024,"1.5230","1.5454","1.5223","1.5451"
04/29/2024,"1.5314","1.5333","1.5179","1.5230"
04/26/2024,"1.5342","1.5347","1.5256","1.5309"
04/25/2024,"1.5389","1.5428","1.5293","1.5342"
04/24/2024,"1.5418","1.5428","1.5312","1.5392"
