Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Date,Open,High,Low,Close,PriceDifference,RSI,RSI_LONG,MA,%K,%D,MACD,Signal Line,BIG MACD,BIG Signal Line,Upper Band,Lower Band,EMA,Percent_PMPU_Long,Percent_PMPU_Short,Percent_MM_Long,Percent_MM_Short,Percent_MM_Spread,Percent_SWAP_Long,Percent_SWAP_Short,Percent_SWAP_Spread,Percent_OR_Long,Percent_OR_Short,Percent_OR_Spread
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240618,2024-06-21,023651,NYME,1,23,1451261,214194,300664,203684,26378,137569,211017,171456,418595,49386,193032,163751,1398196,1411445,53065,39816,1451261,214194,300664,203684,26378,137569,211017,171456,418595,49386,193032,163751,1398196,1411445,53065,39816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2249.0,15225.0,17477.0,3401.0,1064.0,-104.0,-7156.0,-4327.0,-17262.0,-3726.0,-5228.0,6190.0,-3432.0,-2190.0,1183.0,-59.0,100,14.8,20.7,14.0,1.8,9.5,14.5,11.8,28.8,3.4,13.3,11.3,96.3,97.3,3.7,2.7,100,14.8,20.7,14.0,1.8,9.5,14.5,11.8,28.8,3.4,13.3,11.3,96.3,97.3,3.7,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303,42.0,38.0,22.0,10.0,29.0,73.0,53.0,84.0,45.0,45.0,64.0,276,240.0,303.0,42.0,38.0,22.0,10.0,29.0,73.0,53.0,84.0,45.0,45.0,64.0,276.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,27.0,28.7,39.6,7.9,12.7,13.5,17.8,16.8,27.0,28.7,39.6,7.9,12.7,13.5,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-06-21,2.725,2.77,2.672,2.705,0.0,62.684092037483644,57.550760666730305,2.6774285714285715,81.73241852487135,92.93429522219914,0.1306037057202496,0.1306037057202496,0.2323738798908983,0.2323738798908983,3.125403060498043,2.2294540823591,2.629439362725542,0.13861386138613863,0.1254125412541254,0.24092409240924093,0.17491749174917492,0.27722772277227725,0.07260726072607261,0.033003300330033,0.09570957095709572,0.1485148514851485,0.1485148514851485,0.21122112211221122
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240611,2024-06-14,023651,NYME,1,23,1453510,198969,283187,200283,25314,137673,218173,175783,435857,53112,198260,157561,1401628,1413635,51882,39875,1453510,198969,283187,200283,25314,137673,218173,175783,435857,53112,198260,157561,1401628,1413635,51882,39875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22279.0,-363.0,-13738.0,-5409.0,2704.0,-6651.0,10459.0,-15641.0,-12437.0,-4157.0,25036.0,-4317.0,-22875.0,-25044.0,596.0,2765.0,100,13.7,19.5,13.8,1.7,9.5,15.0,12.1,30.0,3.7,13.6,10.8,96.4,97.3,3.6,2.7,100,13.7,19.5,13.8,1.7,9.5,15.0,12.1,30.0,3.7,13.6,10.8,96.4,97.3,3.6,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313,40.0,38.0,23.0,11.0,31.0,72.0,53.0,84.0,43.0,57.0,64.0,277,249.0,313.0,40.0,38.0,23.0,11.0,31.0,72.0,53.0,84.0,43.0,57.0,64.0,277.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,26.9,29.1,40.0,8.1,13.0,14.1,18.5,16.9,26.9,29.1,40.0,8.1,13.0,14.1,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-06-14,2.921,3.0,2.87,2.881,0.0,73.94314808269692,62.265114993184646,2.597,97.07046714172603,93.47787187371786,0.21083365325752768,0.17517589879651518,0.2591196018823996,0.2464896776086351,3.197923733374911,1.996076266625089,2.604252483634056,0.12779552715654952,0.12140575079872204,0.23003194888178913,0.16932907348242812,0.268370607028754,0.07348242811501597,0.03514376996805112,0.09904153354632587,0.13738019169329074,0.18210862619808307,0.20447284345047922
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240604,2024-06-07,023651,NYME,1,23,1475789,199332,296925,205692,22610,144324,207714,191424,448294,57269,173224,161878,1424503,1438679,51286,37110,1475789,199332,296925,205692,22610,144324,207714,191424,448294,57269,173224,161878,1424503,1438679,51286,37110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25862.0,-13248.0,-50292.0,-13771.0,-1421.0,-2256.0,-7494.0,19422.0,-5269.0,-1550.0,-4224.0,17855.0,-25733.0,-26185.0,-129.0,323.0,100,13.5,20.1,13.9,1.5,9.8,14.1,13.0,30.4,3.9,11.7,11.0,96.5,97.5,3.5,2.5,100,13.5,20.1,13.9,1.5,9.8,14.1,13.0,30.4,3.9,11.7,11.0,96.5,97.5,3.5,2.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,41.0,37.0,21.0,14.0,32.0,61.0,66.0,88.0,44.0,45.0,68.0,277,254.0,308.0,41.0,37.0,21.0,14.0,32.0,61.0,66.0,88.0,44.0,45.0,68.0,277.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.6,28.2,39.3,8.0,13.8,14.2,19.1,16.0,26.6,28.2,39.3,8.0,13.8,14.2,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-06-07,2.814,2.967,2.791,2.918,0.0,76.41643017823114,63.27697690243926,2.460142857142857,100.0,94.45438282647586,0.23716896227109263,0.200582892023801,0.24305533113744682,0.24521547506382635,3.183180365226041,1.7371053490596728,2.512003311512075,0.1331168831168831,0.12012987012987013,0.19805194805194806,0.21428571428571427,0.2857142857142857,0.06818181818181818,0.045454545454545456,0.1038961038961039,0.14285714285714285,0.1461038961038961,0.22077922077922077
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240528,2024-05-31,023651,NYME,1,23,1501651,212580,347217,219463,24031,146580,215208,172002,453563,58819,177448,144023,1450236,1464864,51415,36787,1501651,212580,347217,219463,24031,146580,215208,172002,453563,58819,177448,144023,1450236,1464864,51415,36787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28305.0,-17296.0,-13836.0,-12110.0,501.0,-2835.0,-3514.0,-30151.0,23414.0,-14339.0,-2374.0,-108.0,-26788.0,-25389.0,-1517.0,-2916.0,100,14.2,23.1,14.6,1.6,9.8,14.3,11.5,30.2,3.9,11.8,9.6,96.6,97.6,3.4,2.4,100,14.2,23.1,14.6,1.6,9.8,14.3,11.5,30.2,3.9,11.8,9.6,96.6,97.6,3.4,2.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,45.0,40.0,21.0,14.0,32.0,77.0,49.0,88.0,42.0,49.0,65.0,284,251.0,312.0,45.0,40.0,21.0,14.0,32.0,77.0,49.0,88.0,42.0,49.0,65.0,284.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,28.6,27.6,40.4,8.3,16.0,14.4,21.3,15.5,28.6,27.6,40.4,8.3,16.0,14.4,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-05-31,2.57,2.624,2.518,2.587,1.0,68.28114708355706,57.54587800351952,2.2935714285714286,83.36314847942755,94.45438282647586,0.20367346555023502,0.20162983427530304,0.1930404118640645,0.2299219383763406,3.0602898533252874,1.5268530038175698,2.3766710820161,0.14423076923076922,0.1282051282051282,0.2467948717948718,0.15705128205128205,0.28205128205128205,0.0673076923076923,0.04487179487179487,0.10256410256410256,0.1346153846153846,0.15705128205128205,0.20833333333333334
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240521,2024-05-24,023651,NYME,1,23,1529956,229876,361053,231573,23530,149415,218722,202153,430149,73158,179822,144131,1477024,1490253,52932,39703,1529956,229876,361053,231573,23530,149415,218722,202153,430149,73158,179822,144131,1477024,1490253,52932,39703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16234.0,-14233.0,18570.0,5469.0,543.0,-374.0,3602.0,-24047.0,-10766.0,-2528.0,-1416.0,4440.0,-14390.0,-13050.0,-1844.0,-3184.0,100,15.0,23.6,15.1,1.5,9.8,14.3,13.2,28.1,4.8,11.8,9.4,96.5,97.4,3.5,2.6,100,15.0,23.6,15.1,1.5,9.8,14.3,13.2,28.1,4.8,11.8,9.4,96.5,97.4,3.5,2.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,44.0,40.0,22.0,15.0,34.0,69.0,66.0,91.0,42.0,56.0,70.0,291,268.0,326.0,44.0,40.0,22.0,15.0,34.0,69.0,66.0,91.0,42.0,56.0,70.0,291.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,28.3,26.6,39.2,8.8,15.7,15.0,20.4,14.7,28.3,26.6,39.2,8.8,15.7,15.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-05-24,2.938,2.965,2.759,2.773,0.0,81.88664215796751,62.64743877608964,2.1768571428571426,100.0,100.0,0.2671276524445365,0.22111395438752146,0.181844593846197,0.2180582033298023,2.982858324470294,1.3708559612439912,2.3065614426881336,0.13496932515337423,0.12269938650306748,0.2116564417177914,0.20245398773006135,0.2791411042944785,0.06748466257668712,0.046012269938650305,0.10429447852760736,0.12883435582822086,0.17177914110429449,0.2147239263803681
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240514,2024-05-17,023651,NYME,1,23,1546190,244109,342483,226104,22987,149789,215120,226200,440915,75686,181238,139691,1491414,1503303,54776,42887,1546190,244109,342483,226104,22987,149789,215120,226200,440915,75686,181238,139691,1491414,1503303,54776,42887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13962.0,3855.0,26082.0,6322.0,-70.0,13627.0,1665.0,-43284.0,-26513.0,-5104.0,20709.0,-3470.0,-9618.0,-12919.0,-4344.0,-1043.0,100,15.8,22.2,14.6,1.5,9.7,13.9,14.6,28.5,4.9,11.7,9.0,96.5,97.2,3.5,2.8,100,15.8,22.2,14.6,1.5,9.7,13.9,14.6,28.5,4.9,11.7,9.0,96.5,97.2,3.5,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,47.0,43.0,21.0,15.0,33.0,70.0,64.0,96.0,46.0,50.0,68.0,296,273.0,332.0,47.0,43.0,21.0,15.0,33.0,70.0,64.0,96.0,46.0,50.0,68.0,296.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,25.8,27.0,36.5,8.8,13.1,15.2,18.1,15.3,25.8,27.0,36.5,8.8,13.1,15.2,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-05-17,2.487,2.654,2.485,2.626,1.0,79.06017314752276,60.04820816390429,2.0357142857142856,100.0,100.0,0.22329626668116243,0.2217054823533145,0.10678398973449044,0.19400353103363852,2.685418540777699,1.3860100306508722,2.151081923584178,0.14156626506024098,0.12951807228915663,0.21084337349397592,0.1927710843373494,0.2891566265060241,0.06325301204819277,0.045180722891566265,0.09939759036144578,0.13855421686746988,0.15060240963855423,0.20481927710843373
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240507,2024-05-10,023651,NYME,1,23,1560152,240254,316401,219782,23057,136162,213455,269484,467428,80790,160529,143161,1501032,1516222,59120,43930,1560152,240254,316401,219782,23057,136162,213455,269484,467428,80790,160529,143161,1501032,1516222,59120,43930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.0,-5448.0,-796.0,-3345.0,4449.0,2793.0,-13909.0,-61680.0,30376.0,-3923.0,29383.0,-6582.0,-38.0,-2057.0,719.0,2738.0,100,15.4,20.3,14.1,1.5,8.7,13.7,17.3,30.0,5.2,10.3,9.2,96.2,97.2,3.8,2.8,100,15.4,20.3,14.1,1.5,8.7,13.7,17.3,30.0,5.2,10.3,9.2,96.2,97.2,3.8,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,44.0,42.0,21.0,15.0,33.0,69.0,69.0,97.0,45.0,53.0,68.0,298,274.0,336.0,44.0,42.0,21.0,15.0,33.0,69.0,69.0,97.0,45.0,53.0,68.0,298.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,24.0,26.9,35.3,8.5,11.5,14.7,16.9,15.1,24.0,26.9,35.3,8.5,11.5,14.7,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-05-10,2.307,2.344,2.242,2.252,1.0,68.25890891639236,52.18806770427643,1.9229999999999998,100.0,85.15901060070674,0.12998048241844407,0.19849233187012907,0.015145537570380396,0.15919916099963047,2.3190572349209315,1.526942765079068,1.9927758981122374,0.13095238095238096,0.125,0.20535714285714285,0.20535714285714285,0.28869047619047616,0.0625,0.044642857142857144,0.09821428571428571,0.13392857142857142,0.15773809523809523,0.20238095238095238
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240430,2024-05-03,023651,NYME,1,23,1559471,245702,317197,223127,18608,133369,227364,331164,437052,84713,131146,149743,1501070,1518279,58401,41192,1559471,245702,317197,223127,18608,133369,227364,331164,437052,84713,131146,149743,1501070,1518279,58401,41192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16492.0,10149.0,-6156.0,2324.0,616.0,3480.0,2528.0,17315.0,3649.0,3295.0,6263.0,-7401.0,18024.0,17766.0,-1532.0,-1274.0,100,15.8,20.3,14.3,1.2,8.6,14.6,21.2,28.0,5.4,8.4,9.6,96.3,97.4,3.7,2.6,100,15.8,20.3,14.3,1.2,8.6,14.6,21.2,28.0,5.4,8.4,9.6,96.3,97.4,3.7,2.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339,42.0,42.0,24.0,12.0,30.0,63.0,83.0,94.0,51.0,45.0,65.0,290,276.0,339.0,42.0,42.0,24.0,12.0,30.0,63.0,83.0,94.0,51.0,45.0,65.0,290.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,22.4,26.5,34.6,9.4,11.6,15.5,16.4,14.7,22.4,26.5,34.6,9.4,11.6,15.5,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-05-03,2.031,2.16,2.012,2.142,1.0,63.514324367135664,49.47317643486502,1.860142857142857,100.0,59.238844711645044,0.08714489691171368,0.17173344936064336,-0.04175630285289689,0.12330149929137142,2.1330468172248787,1.5872388970608353,1.90636786414965,0.12389380530973451,0.12389380530973451,0.18584070796460178,0.2448377581120944,0.27728613569321536,0.07079646017699115,0.035398230088495575,0.08849557522123894,0.1504424778761062,0.13274336283185842,0.19174041297935104
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240423,2024-04-26,023651,NYME,1,23,1542979,235553,323353,220803,17992,129889,224836,313849,433403,81418,124883,157144,1483046,1500513,59933,42466,1542979,235553,323353,220803,17992,129889,224836,313849,433403,81418,124883,157144,1483046,1500513,59933,42466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39473.0,-1610.0,-4450.0,6114.0,-289.0,-13089.0,4769.0,-22152.0,-3754.0,-20243.0,7281.0,-2868.0,-30681.0,-39321.0,-8792.0,-152.0,100,15.3,21.0,14.3,1.2,8.4,14.6,20.3,28.1,5.3,8.1,10.2,96.1,97.2,3.9,2.8,100,15.3,21.0,14.3,1.2,8.4,14.6,20.3,28.1,5.3,8.1,10.2,96.1,97.2,3.9,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,41.0,40.0,23.0,13.0,30.0,61.0,82.0,95.0,49.0,45.0,66.0,288,273.0,334.0,41.0,40.0,23.0,13.0,30.0,61.0,82.0,95.0,49.0,45.0,66.0,288.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,23.1,26.5,35.1,9.5,12.7,15.7,17.2,14.4,23.1,26.5,35.1,9.5,12.7,15.7,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-04-26,1.977,2.002,1.909,1.923,1.0,51.02050271032365,43.54707104394206,1.7905714285714287,55.477031802120166,31.229585452385788,0.017201703256527923,0.13603584937464702,-0.1040281187457055,0.0854683755309672,1.9548348639134168,1.6263079932294406,1.8278238188662002,0.12275449101796407,0.11976047904191617,0.18263473053892215,0.24550898203592814,0.2844311377245509,0.0688622754491018,0.038922155688622756,0.08982035928143713,0.1467065868263473,0.1347305389221557,0.19760479041916168
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240416,2024-04-19,023651,NYME,1,23,1582452,237163,327803,214689,18281,142978,220067,336001,437157,101661,117602,160012,1513727,1539834,68725,42618,1582452,237163,327803,214689,18281,142978,220067,336001,437157,101661,117602,160012,1513727,1539834,68725,42618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32407.0,9706.0,10666.0,4294.0,820.0,5387.0,-8336.0,19051.0,9571.0,9884.0,-13525.0,1472.0,31978.0,33442.0,429.0,-1035.0,100,15.0,20.7,13.6,1.2,9.0,13.9,21.2,27.6,6.4,7.4,10.1,95.7,97.3,4.3,2.7,100,15.0,20.7,13.6,1.2,9.0,13.9,21.2,27.6,6.4,7.4,10.1,95.7,97.3,4.3,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358,42.0,41.0,28.0,11.0,29.0,58.0,86.0,97.0,73.0,40.0,71.0,314,279.0,358.0,42.0,41.0,28.0,11.0,29.0,58.0,86.0,97.0,73.0,40.0,71.0,314.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,22.6,25.3,34.5,8.8,12.9,14.5,17.5,13.8,22.6,25.3,34.5,8.8,12.9,14.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-04-19,1.741,1.806,1.724,1.752,1.0,36.457870521306724,38.300225718341714,1.7737142857142858,22.23950233281494,18.534342967621093,-0.02904738090947734,0.09904762272263666,-0.14431162941896836,0.049431497267832726,1.8924729445459416,1.65495562688263,1.7960984251549335,0.11731843575418995,0.11452513966480447,0.16201117318435754,0.24022346368715083,0.2709497206703911,0.0782122905027933,0.030726256983240222,0.08100558659217877,0.20391061452513967,0.11173184357541899,0.19832402234636873
