Date,Open,High,Low,Close
07/08/2024,"4.6710","4.6710","4.5885","4.6180"
07/05/2024,"4.5655","4.6995","4.5565","4.6520"
07/03/2024,"4.4275","4.5625","4.4135","4.5335"
07/02/2024,"4.4165","4.4720","4.3910","4.4190"
07/01/2024,"4.3760","4.4380","4.3525","4.4180"
06/28/2024,"4.3355","4.4280","4.3315","4.3915"
06/27/2024,"4.3735","4.3935","4.3290","4.3485"
06/26/2024,"4.3710","4.3995","4.3425","4.3670"
06/25/2024,"4.4200","4.4560","4.3570","4.3710"
06/24/2024,"4.4295","4.4550","4.4040","4.4370"
06/21/2024,"4.5645","4.5645","4.4280","4.4420"
06/20/2024,"4.5105","4.5890","4.4805","4.5620"
06/18/2024,"4.4595","4.4990","4.3750","4.4905"
06/17/2024,"4.4965","4.5000","4.4000","4.4475"
06/14/2024,"4.4870","4.5095","4.4415","4.4950"
06/13/2024,"4.5335","4.5650","4.4610","4.4815"
06/12/2024,"4.5170","4.6125","4.5030","4.5670"
06/11/2024,"4.5585","4.5650","4.4425","4.5100"
06/10/2024,"4.4475","4.5570","4.4310","4.5435"
06/07/2024,"4.6720","4.6850","4.4465","4.4835"
06/06/2024,"4.6265","4.6875","4.6150","4.6780"
06/05/2024,"4.5490","4.6355","4.5185","4.6060"
06/04/2024,"4.6840","4.6960","4.5270","4.5370"
06/03/2024,"4.6250","4.6920","4.5955","4.6675"
05/31/2024,"4.6610","4.6735","4.5710","4.6020"
05/30/2024,"4.7810","4.7840","4.6205","4.6585"
05/29/2024,"4.8750","4.8935","4.7500","4.7910"
05/28/2024,"4.8325","4.9030","4.7885","4.8550"
05/24/2024,"4.7760","4.8230","4.7465","4.7535"
05/23/2024,"4.8025","4.8625","4.7435","4.7925"
05/22/2024,"5.1040","5.1330","4.7915","4.8485"
05/21/2024,"5.1075","5.1795","5.0125","5.1060"
05/20/2024,"5.0800","5.1990","5.0040","5.0790"
05/17/2024,"4.8825","5.0895","4.8485","5.0500"
05/16/2024,"4.9225","5.0200","4.8415","4.8770"
05/15/2024,"4.9000","5.1280","4.8140","4.9245"
05/14/2024,"4.7700","5.0260","4.7665","4.8950"
05/13/2024,"4.6530","4.7760","4.6160","4.7660"
05/10/2024,"4.6015","4.7455","4.5970","4.6625"
05/09/2024,"4.5415","4.6035","4.5185","4.5850"
05/08/2024,"4.5915","4.5980","4.5050","4.5425"
05/07/2024,"4.6095","4.6450","4.5670","4.6055"
05/06/2024,"4.5755","4.6385","4.5355","4.6150"
05/03/2024,"4.5020","4.5690","4.4830","4.5570"
05/02/2024,"4.5690","4.5820","4.4660","4.4845"
05/01/2024,"4.5410","4.5975","4.5125","4.5460"
04/30/2024,"4.6790","4.6945","4.5400","4.5645"
04/29/2024,"4.5815","4.6810","4.5660","4.6765"
04/26/2024,"4.5575","4.6145","4.5425","4.5740"
04/25/2024,"4.4865","4.5855","4.4655","4.5385"
04/24/2024,"4.4260","4.4910","4.4155","4.4575"
04/23/2024,"4.4830","4.4910","4.3860","4.4345"
04/22/2024,"4.4880","4.5505","4.4585","4.4760"
04/19/2024,"4.4300","4.5135","4.3965","4.4975"
04/18/2024,"4.3425","4.4485","4.3215","4.4365"
04/17/2024,"4.2955","4.3800","4.2840","4.3395"
04/16/2024,"4.3785","4.3790","4.2770","4.3035"
04/15/2024,"4.3525","4.3965","4.2705","4.3790"
04/12/2024,"4.2605","4.3620","4.2495","4.2585"
04/11/2024,"4.2775","4.2995","4.2285","4.2530"
04/10/2024,"4.3000","4.3350","4.2410","4.2820"
04/09/2024,"4.2940","4.3335","4.2525","4.2855"
04/08/2024,"4.2360","4.3045","4.1725","4.2760"
04/05/2024,"4.2200","4.2440","4.1665","4.2360"
04/04/2024,"4.2125","4.2565","4.2010","4.2490"
04/03/2024,"4.0820","4.2170","4.0690","4.1940"
04/02/2024,"4.0565","4.0965","4.0420","4.0705"
04/01/2024,"4.0310","4.0780","4.0250","4.0485"
03/28/2024,"4.0120","4.0395","3.9840","4.0070"
03/27/2024,"4.0050","4.0165","3.9675","4.0000"
