Date,Open,High,Low,Close
06/25/2024,"81.70","81.90","80.55","80.83"
06/24/2024,"80.45","81.78","80.23","81.63"
06/21/2024,"81.27","81.79","80.35","80.73"
06/20/2024,"81.33","82.41","81.30","82.17"
06/18/2024,"80.43","81.67","79.77","81.57"
06/17/2024,"78.48","80.66","77.98","80.33"
06/14/2024,"77.96","79.15","77.73","78.45"
06/13/2024,"78.37","78.89","77.67","78.62"
06/12/2024,"78.22","79.32","77.88","78.50"
06/11/2024,"78.12","78.36","77.22","77.90"
06/10/2024,"75.35","78.29","75.23","77.74"
06/07/2024,"75.67","76.25","75.21","75.53"
06/06/2024,"74.30","75.79","74.06","75.55"
06/05/2024,"72.90","74.33","72.82","74.07"
06/04/2024,"74.02","74.13","72.48","73.25"
06/03/2024,"76.97","77.52","73.98","74.22"
05/31/2024,"77.91","78.62","76.67","76.99"
05/30/2024,"79.28","79.42","77.63","77.91"
05/29/2024,"80.26","80.62","78.99","79.23"
05/28/2024,"78.63","80.29","78.50","79.83"
05/24/2024,"77.04","78.05","76.15","77.72"
05/23/2024,"77.29","78.66","76.43","76.87"
05/22/2024,"78.21","78.41","77.25","77.57"
05/21/2024,"79.70","79.78","78.08","79.26"
05/20/2024,"80.01","80.60","79.17","79.80"
05/17/2024,"79.38","80.14","79.00","80.06"
05/16/2024,"78.84","79.85","78.20","79.23"
05/15/2024,"78.44","78.92","76.70","78.63"
05/14/2024,"79.23","79.38","77.68","78.02"
05/13/2024,"78.18","79.49","77.78","79.12"
05/10/2024,"79.59","79.96","78.14","78.26"
05/09/2024,"79.23","79.80","78.91","79.26"
05/08/2024,"78.34","79.27","76.89","78.99"
05/07/2024,"78.72","79.17","77.55","78.38"
05/06/2024,"78.16","79.09","77.91","78.48"
05/03/2024,"79.07","79.63","77.96","78.11"
05/02/2024,"79.15","79.90","78.41","78.95"
05/01/2024,"81.48","81.57","78.83","79.00"
04/30/2024,"82.76","83.30","80.95","81.93"
04/29/2024,"83.69","83.91","82.40","82.63"
04/26/2024,"83.81","84.46","83.35","83.85"
04/25/2024,"82.83","83.83","81.99","83.57"
04/24/2024,"83.40","83.71","82.44","82.81"
04/23/2024,"82.13","83.43","80.88","83.36"
04/22/2024,"83.05","83.49","81.85","82.85"
04/19/2024,"82.62","86.28","81.80","83.14"
04/18/2024,"82.79","83.47","81.56","82.73"
04/17/2024,"85.36","85.51","82.55","82.69"
04/16/2024,"85.70","86.18","84.75","85.36"
04/15/2024,"85.93","86.11","84.05","85.41"
04/12/2024,"85.60","87.67","85.24","85.66"
04/11/2024,"86.32","86.63","84.84","85.02"
04/10/2024,"85.34","86.38","84.55","86.21"
04/09/2024,"86.59","86.98","85.09","85.23"
04/08/2024,"86.10","87.10","84.69","86.43"
04/05/2024,"86.86","87.63","86.32","86.91"
04/04/2024,"85.66","87.22","84.64","86.59"
04/03/2024,"85.46","86.20","84.85","85.43"
04/02/2024,"84.04","85.50","83.85","85.15"
04/01/2024,"83.14","84.49","82.60","83.71"
03/28/2024,"81.71","83.21","81.52","83.17"
03/27/2024,"81.29","81.74","80.55","81.35"
03/26/2024,"81.94","82.36","81.22","81.62"
03/25/2024,"80.85","82.48","80.59","81.95"
03/22/2024,"80.84","81.45","80.42","80.63"
03/21/2024,"81.49","81.92","80.30","81.07"
03/20/2024,"83.20","83.33","81.44","81.68"
03/19/2024,"82.85","83.85","82.39","83.47"
03/18/2024,"81.03","83.09","81.01","82.72"
03/15/2024,"81.14","81.45","80.49","81.04"
03/14/2024,"79.63","81.62","79.57","81.26"
03/13/2024,"78.06","79.90","77.57","79.72"
03/12/2024,"78.09","78.73","77.34","77.56"
03/11/2024,"77.80","78.47","76.79","77.93"
03/08/2024,"79.51","79.99","77.56","78.01"
03/07/2024,"79.13","79.53","78.02","78.93"
03/06/2024,"78.15","80.67","77.99","79.13"
03/05/2024,"78.74","79.49","77.52","78.15"
03/04/2024,"80.14","80.41","78.56","78.74"
03/01/2024,"78.28","80.85","78.05","79.97"
02/29/2024,"78.20","79.28","77.94","78.26"
02/28/2024,"78.48","79.62","77.78","78.54"
02/27/2024,"77.62","79.00","77.17","78.87"
02/26/2024,"76.40","78.03","75.84","77.58"
02/23/2024,"78.37","78.39","76.35","76.49"
02/22/2024,"78.09","78.92","77.23","78.61"
02/21/2024,"77.15","78.08","76.32","77.91"
02/20/2024,"79.13","79.90","77.67","78.18"
02/16/2024,"78.11","79.35","77.22","79.19"
02/15/2024,"76.60","78.44","75.78","78.03"
02/14/2024,"77.81","78.77","76.38","76.64"
02/13/2024,"77.03","78.47","76.87","77.87"
02/12/2024,"76.60","77.09","75.54","76.92"
02/09/2024,"76.42","77.29","75.93","76.84"
02/08/2024,"74.08","76.59","73.56","76.22"
02/07/2024,"73.50","74.22","73.23","73.86"
02/06/2024,"72.76","73.82","72.38","73.31"
02/05/2024,"72.75","73.28","71.41","72.78"
02/02/2024,"73.91","74.52","71.79","72.28"
02/01/2024,"75.96","76.95","73.70","73.82"
01/31/2024,"77.84","78.11","75.52","75.85"
01/30/2024,"77.02","78.14","75.85","77.82"
01/29/2024,"78.90","79.29","76.41","76.78"
01/26/2024,"77.15","78.26","76.06","78.01"
01/25/2024,"75.30","77.51","75.16","77.36"
01/24/2024,"74.57","75.83","73.94","75.09"
01/23/2024,"74.68","75.25","73.41","74.37"
01/22/2024,"73.41","75.79","72.85","75.19"
01/19/2024,"74.08","74.91","73.19","73.41"
01/18/2024,"72.78","74.38","72.18","74.08"
01/17/2024,"72.00","72.95","70.50","72.56"
01/16/2024,"72.82","73.56","71.71","72.40"
01/12/2024,"73.01","75.25","72.36","72.68"
01/11/2024,"71.33","73.81","71.17","72.02"
01/10/2024,"72.17","73.59","71.01","71.37"
01/09/2024,"70.91","72.93","70.47","72.24"
01/08/2024,"73.51","73.95","70.13","70.77"
01/05/2024,"72.40","74.24","72.21","73.81"
01/04/2024,"73.04","74.00","71.06","72.19"
01/03/2024,"70.50","73.23","69.28","72.70"
01/02/2024,"71.71","73.64","70.06","70.38"
12/29/2023,"71.99","72.62","71.25","71.65"
12/28/2023,"73.80","74.40","71.72","71.77"
12/27/2023,"75.32","75.66","73.77","74.11"
12/26/2023,"73.56","76.18","73.13","75.57"
12/22/2023,"73.91","74.98","73.39","73.56"
12/21/2023,"73.81","74.58","72.44","73.89"
12/20/2023,"74.06","75.37","73.60","74.22"
12/19/2023,"72.48","74.02","71.84","73.44"
12/18/2023,"71.68","74.26","70.64","72.47"
12/15/2023,"71.61","72.22","70.30","71.43"
12/14/2023,"69.85","72.46","69.54","71.58"
12/13/2023,"68.73","69.89","67.71","69.47"
12/12/2023,"71.43","71.96","68.22","68.61"
12/11/2023,"71.15","71.81","70.35","71.32"
12/08/2023,"69.76","71.63","69.50","71.23"
12/07/2023,"69.28","70.48","68.80","69.34"
12/06/2023,"72.10","72.60","69.11","69.38"
12/05/2023,"73.30","74.12","72.02","72.32"
12/04/2023,"74.58","75.03","72.63","73.04"
12/01/2023,"75.59","76.76","73.93","74.07"
11/30/2023,"77.75","79.60","75.05","75.96"
11/29/2023,"76.56","78.09","75.67","77.86"
11/28/2023,"75.07","77.02","74.64","76.41"
11/27/2023,"75.31","76.23","74.06","74.86"
11/24/2023,"76.35","77.09","75.07","75.54"
11/22/2023,"77.77","77.97","73.79","77.10"
11/21/2023,"77.65","77.92","76.92","77.77"
11/20/2023,"75.65","78.22","75.60","77.60"
11/17/2023,"72.97","75.99","72.75","75.89"
11/16/2023,"76.60","76.63","72.16","72.90"
11/15/2023,"78.17","78.77","76.31","76.66"
11/14/2023,"78.53","79.77","77.79","78.26"
11/13/2023,"77.15","78.64","76.21","78.26"
11/10/2023,"75.59","77.73","75.31","77.17"
11/09/2023,"75.65","77.16","75.21","75.74"
11/08/2023,"77.12","77.53","74.91","75.33"
11/07/2023,"80.93","81.05","77.09","77.37"
11/06/2023,"81.13","82.24","80.66","80.82"
11/03/2023,"82.58","83.60","80.10","80.51"
11/02/2023,"80.82","82.83","80.22","82.46"
11/01/2023,"81.48","83.42","80.30","80.44"
10/31/2023,"82.59","83.37","80.74","81.02"
10/30/2023,"85.00","85.30","81.82","82.31"
10/27/2023,"83.53","85.90","83.10","85.54"
10/26/2023,"85.37","85.59","82.56","83.21"
10/25/2023,"83.69","85.56","82.08","85.39"
10/24/2023,"86.15","86.30","82.94","83.74"
10/23/2023,"88.00","88.29","85.35","85.49"
10/20/2023,"90.28","90.78","88.33","88.75"
10/19/2023,"88.24","90.68","86.60","89.37"
10/18/2023,"87.81","89.88","87.20","88.32"
10/17/2023,"87.06","87.75","85.60","86.66"
10/16/2023,"87.72","88.33","86.32","86.66"
10/13/2023,"83.51","87.83","83.35","87.69"
10/12/2023,"83.20","85.20","82.31","82.91"
10/11/2023,"85.96","86.51","83.11","83.49"
10/10/2023,"86.43","86.74","85.12","85.97"
10/09/2023,"85.25","87.24","84.67","86.38"
10/06/2023,"82.28","83.28","81.50","82.79"
10/05/2023,"84.45","84.92","82.15","82.31"
10/04/2023,"89.42","89.59","84.16","84.22"
10/03/2023,"88.67","90.27","87.76","89.23"
10/02/2023,"90.82","91.88","88.46","88.82"
09/29/2023,"91.76","93.10","90.35","90.79"
09/28/2023,"93.78","95.03","91.39","91.71"
09/27/2023,"90.53","94.17","90.40","93.68"
09/26/2023,"89.88","90.74","88.19","90.39"
09/25/2023,"90.55","90.83","89.03","89.68"
09/22/2023,"89.62","91.33","89.31","90.03"
09/21/2023,"89.30","90.98","88.37","89.63"
09/20/2023,"91.55","91.98","89.87","90.28"
09/19/2023,"92.22","93.74","91.07","91.20"
09/18/2023,"91.20","92.43","90.75","91.48"
09/15/2023,"90.67","91.23","89.22","90.77"
09/14/2023,"88.81","90.79","88.68","90.16"
09/13/2023,"88.75","89.64","88.29","88.52"
09/12/2023,"87.27","89.37","87.22","88.84"
09/11/2023,"87.40","88.15","86.71","87.29"
09/08/2023,"86.78","87.95","86.15","87.51"
09/07/2023,"87.54","87.74","86.39","86.87"
09/06/2023,"86.72","88.08","85.93","87.54"
09/05/2023,"85.95","88.07","85.02","86.69"
09/01/2023,"83.63","86.06","83.46","85.55"
08/31/2023,"81.70","83.69","81.48","83.63"
08/30/2023,"81.29","82.05","80.88","81.63"
08/29/2023,"79.98","81.41","79.34","81.16"
08/28/2023,"80.15","80.87","79.61","80.10"
08/25/2023,"78.88","80.45","78.14","79.83"
08/24/2023,"78.57","79.28","77.59","79.05"
08/23/2023,"79.64","79.91","77.62","78.89"
08/22/2023,"80.80","81.04","80.10","80.35"
08/21/2023,"81.43","82.47","80.61","80.72"
08/18/2023,"80.04","81.61","79.59","81.25"
08/17/2023,"79.25","81.08","78.95","80.39"
08/16/2023,"81.23","81.43","79.05","79.38"
08/15/2023,"82.52","82.91","80.40","80.99"
08/14/2023,"83.09","83.20","81.76","82.51"
08/11/2023,"82.83","83.81","82.23","83.19"
08/10/2023,"84.25","84.89","82.58","82.82"
08/09/2023,"82.88","84.65","82.67","84.40"
08/08/2023,"82.53","83.08","79.90","82.92"
08/07/2023,"82.82","83.30","81.52","81.94"
08/04/2023,"81.73","83.24","81.51","82.82"
08/03/2023,"79.77","81.86","78.69","81.55"
08/02/2023,"82.05","82.43","79.05","79.49"
08/01/2023,"81.73","82.22","80.59","81.37"
07/31/2023,"80.65","82.00","80.13","81.80"
07/28/2023,"79.84","80.71","79.07","80.58"
07/27/2023,"78.90","80.60","78.87","80.09"
07/26/2023,"79.34","79.77","78.55","78.78"
07/25/2023,"78.85","79.90","78.29","79.63"
07/24/2023,"77.01","79.28","76.44","78.74"
07/21/2023,"75.70","77.29","75.69","77.07"
07/20/2023,"75.35","76.15","74.70","75.63"
07/19/2023,"75.84","76.97","75.07","75.35"
07/18/2023,"74.18","75.96","73.88","75.75"
07/17/2023,"75.02","76.09","73.84","74.15"
07/14/2023,"77.16","77.30","75.11","75.42"
07/13/2023,"75.85","77.33","75.32","76.89"
07/12/2023,"74.83","76.15","74.67","75.75"
07/11/2023,"73.19","74.96","72.98","74.83"
07/10/2023,"73.86","74.15","72.67","72.99"
07/07/2023,"71.89","73.92","71.19","73.86"
07/06/2023,"71.80","72.34","70.22","71.80"
07/05/2023,"71.02","72.17","70.34","71.79"
07/03/2023,"70.45","71.77","69.69","69.79"
06/30/2023,"69.82","71.04","69.53","70.64"
06/29/2023,"69.25","70.60","68.93","69.86"
06/28/2023,"68.01","69.73","67.05","69.56"
06/27/2023,"69.49","70.15","67.50","67.70"
06/26/2023,"69.84","70.11","68.71","69.37"
06/23/2023,"69.53","69.65","67.35","69.16"
06/22/2023,"72.43","72.65","68.93","69.51"
06/21/2023,"70.90","72.72","70.80","72.53"
06/20/2023,"70.96","72.09","69.65","70.50"
06/16/2023,"70.55","71.89","69.95","71.78"
06/15/2023,"68.70","70.96","67.97","70.62"
06/14/2023,"69.35","70.49","68.07","68.27"
06/13/2023,"67.31","69.83","67.15","69.42"
06/12/2023,"70.27","70.33","66.80","67.12"
06/09/2023,"70.94","71.77","70.10","70.17"
06/08/2023,"72.47","73.28","69.03","71.29"
06/07/2023,"71.56","73.19","71.01","72.53"
06/06/2023,"71.99","72.33","70.13","71.74"
06/05/2023,"75.03","75.06","71.73","72.15"
06/02/2023,"70.21","72.17","70.00","71.74"
06/01/2023,"67.60","71.07","67.51","70.10"
05/31/2023,"69.62","69.69","67.03","68.09"
05/30/2023,"72.98","73.36","69.02","69.46"
05/26/2023,"71.89","73.05","71.49","72.67"
05/25/2023,"74.21","74.37","70.98","71.83"
05/24/2023,"73.77","74.73","73.13","74.34"
05/23/2023,"72.10","73.79","71.71","72.91"
05/22/2023,"71.70","72.36","70.55","71.99"
05/19/2023,"71.94","73.40","71.03","71.55"
05/18/2023,"72.75","72.87","71.42","71.86"
05/17/2023,"70.60","73.26","70.04","72.83"
05/16/2023,"71.32","71.79","70.45","70.86"
05/15/2023,"70.04","71.69","69.41","71.11"
05/12/2023,"71.42","71.78","69.93","70.04"
05/11/2023,"72.77","73.50","70.63","70.87"
05/10/2023,"73.58","73.89","71.80","72.56"
05/09/2023,"72.84","73.78","71.34","73.71"
05/08/2023,"71.35","73.69","71.04","73.16"
05/05/2023,"68.70","71.81","68.48","71.34"
05/04/2023,"68.16","69.84","63.57","68.56"
05/03/2023,"71.56","71.79","67.95","68.60"
05/02/2023,"75.76","76.11","71.42","71.66"
05/01/2023,"76.66","76.69","74.53","75.66"
04/28/2023,"74.91","76.92","73.93","76.78"
04/27/2023,"74.38","75.28","74.03","74.76"
04/26/2023,"77.08","77.93","74.05","74.30"
04/25/2023,"78.74","79.07","76.50","77.07"
04/24/2023,"77.97","79.18","76.72","78.76"
04/21/2023,"77.13","78.39","76.72","77.87"
04/20/2023,"78.87","78.89","76.97","77.29"
04/19/2023,"80.92","81.19","78.46","79.16"
04/18/2023,"81.00","81.48","79.87","80.86"
04/17/2023,"82.48","82.71","80.47","80.83"
04/14/2023,"82.40","83.12","81.76","82.52"
04/13/2023,"83.22","83.44","82.11","82.16"
04/12/2023,"81.44","83.53","81.28","83.26"
04/11/2023,"79.88","81.59","79.37","81.53"
04/10/2023,"80.50","81.22","79.61","79.74"
04/06/2023,"80.37","80.96","79.65","80.70"
04/05/2023,"81.01","81.24","79.72","80.61"
04/04/2023,"80.44","81.81","79.61","80.71"
04/03/2023,"80.10","81.69","79.00","80.42"
03/31/2023,"74.37","75.72","73.77","75.67"
03/30/2023,"72.98","74.63","72.61","74.37"
03/29/2023,"73.61","74.37","72.76","72.97"
03/28/2023,"72.86","73.93","72.19","73.20"
03/27/2023,"69.42","73.10","69.13","72.81"
