Date,Open,High,Low,Close
06/28/2024,"2.694","2.749","2.591","2.598"
06/27/2024,"2.725","2.773","2.665","2.675"
06/26/2024,"2.737","2.746","2.613","2.628"
06/25/2024,"2.816","2.844","2.699","2.756"
06/24/2024,"2.670","2.834","2.635","2.811"
06/21/2024,"2.725","2.770","2.672","2.705"
06/20/2024,"2.914","2.948","2.723","2.741"
06/18/2024,"2.772","2.916","2.772","2.909"
06/17/2024,"2.846","2.848","2.759","2.788"
06/14/2024,"2.921","3.000","2.870","2.881"
06/13/2024,"3.028","3.091","2.898","2.959"
06/12/2024,"3.130","3.132","2.995","3.045"
06/11/2024,"2.985","3.159","2.966","3.129"
06/10/2024,"2.980","3.096","2.862","2.906"
06/07/2024,"2.814","2.967","2.791","2.918"
06/06/2024,"2.762","2.877","2.724","2.821"
06/05/2024,"2.617","2.787","2.605","2.757"
06/04/2024,"2.772","2.829","2.573","2.586"
06/03/2024,"2.645","2.799","2.628","2.756"
05/31/2024,"2.570","2.624","2.518","2.587"
05/30/2024,"2.662","2.682","2.562","2.572"
05/29/2024,"2.836","2.848","2.655","2.666"
05/28/2024,"2.797","2.844","2.737","2.825"
05/24/2024,"2.938","2.965","2.759","2.773"
05/23/2024,"3.004","3.161","2.896","2.923"
05/22/2024,"2.665","2.851","2.609","2.842"
05/21/2024,"2.733","2.798","2.640","2.671"
05/20/2024,"2.659","2.756","2.625","2.751"
05/17/2024,"2.487","2.654","2.485","2.626"
05/16/2024,"2.405","2.575","2.389","2.495"
05/15/2024,"2.343","2.424","2.313","2.416"
05/14/2024,"2.362","2.397","2.306","2.344"
05/13/2024,"2.250","2.384","2.214","2.381"
05/10/2024,"2.307","2.344","2.242","2.252"
05/09/2024,"2.186","2.316","2.153","2.301"
05/08/2024,"2.219","2.274","2.167","2.187"
05/07/2024,"2.206","2.230","2.142","2.207"
05/06/2024,"2.170","2.262","2.133","2.195"
05/03/2024,"2.031","2.160","2.012","2.142"
05/02/2024,"1.931","2.050","1.927","2.035"
05/01/2024,"1.954","1.970","1.913","1.932"
04/30/2024,"2.050","2.092","1.951","1.991"
04/29/2024,"1.923","2.056","1.916","2.030"
04/26/2024,"1.977","2.002","1.909","1.923"
04/25/2024,"1.969","1.993","1.926","1.986"
04/24/2024,"2.128","2.133","1.960","1.979"
04/23/2024,"2.070","2.140","2.018","2.094"
04/22/2024,"1.765","1.800","1.721","1.791"
04/19/2024,"1.741","1.806","1.724","1.752"
04/18/2024,"1.722","1.780","1.713","1.757"
04/17/2024,"1.680","1.724","1.660","1.712"
04/16/2024,"1.695","1.802","1.649","1.732"
04/15/2024,"1.772","1.792","1.678","1.691"
04/12/2024,"1.767","1.785","1.731","1.770"
04/11/2024,"1.874","1.892","1.754","1.764"
04/10/2024,"1.888","1.943","1.867","1.885"
04/09/2024,"1.847","1.924","1.838","1.872"
04/08/2024,"1.770","1.850","1.746","1.844"
04/05/2024,"1.779","1.823","1.755","1.785"
04/04/2024,"1.844","1.853","1.769","1.774"
04/03/2024,"1.852","1.906","1.836","1.841"
04/02/2024,"1.837","1.881","1.778","1.862"
04/01/2024,"1.755","1.853","1.706","1.837"
03/28/2024,"1.717","1.786","1.686","1.763"
03/27/2024,"1.789","1.789","1.704","1.718"
03/26/2024,"1.805","1.830","1.775","1.788"
03/25/2024,"1.817","1.825","1.758","1.789"
03/22/2024,"1.838","1.859","1.791","1.812"
03/21/2024,"1.839","1.855","1.797","1.831"
03/20/2024,"1.750","1.765","1.686","1.699"
03/19/2024,"1.717","1.769","1.701","1.744"
03/18/2024,"1.689","1.762","1.684","1.703"
03/15/2024,"1.757","1.774","1.646","1.655"
03/14/2024,"1.668","1.767","1.643","1.741"
03/13/2024,"1.713","1.717","1.651","1.658"
03/12/2024,"1.758","1.823","1.691","1.714"
03/11/2024,"1.805","1.841","1.746","1.759"
03/08/2024,"1.796","1.837","1.755","1.805"
03/07/2024,"1.929","1.955","1.782","1.818"
03/06/2024,"1.950","1.983","1.921","1.929"
03/05/2024,"1.928","2.009","1.890","1.957"
03/04/2024,"1.873","1.989","1.870","1.916"
03/01/2024,"1.852","1.888","1.810","1.835"
02/29/2024,"1.868","1.918","1.829","1.860"
02/28/2024,"1.817","1.906","1.782","1.885"
02/27/2024,"1.751","1.838","1.710","1.808"
02/26/2024,"1.750","1.834","1.716","1.744"
02/23/2024,"1.817","1.819","1.683","1.699"
02/22/2024,"1.863","1.868","1.752","1.832"
02/21/2024,"1.719","1.792","1.677","1.773"
02/20/2024,"1.559","1.709","1.554","1.576"
