LongPMPU,ShortPMPU,LongSD,ShortSD,LongMM,ShortMM,LongNR,ShortNR,LongPMPUT,ShortPMPUT,LongSDT,ShortSDT,LongMMT,ShortMMT,LongNRT,ShortNRT
7.7,25.5,24.2,30.0,36.8,26.9,8.3,4.4,18,19,19,17,50,34,60,18
7.9,23.6,24.5,29.5,35.0,27.9,9.0,4.6,19,18,19,17,46,39,59,18
7.0,27.0,23.6,29.4,34.5,22.4,9.3,5.1,17,19,18,17,57,33,66,25
3.9,28.0,23.2,31.5,38.7,16.7,8.2,6.9,13,18,20,16,67,26,59,32
4.4,30.2,22.6,31.9,39.7,13.5,6.9,6.1,14,19,17,19,68,20,49,29
4.6,29.0,23.4,30.5,37.3,17.7,7.1,5.8,18,20,19,18,63,30,52,29
7.6,30.1,24.0,29.5,33.5,19.0,8.2,5.9,17,19,16,20,58,31,57,25
7.4,30.0,23.3,30.5,32.8,14.4,7.5,6.3,19,19,17,19,61,24,50,30
7.5,32.8,23.5,32.2,35.3,12.0,7.9,6.2,19,19,16,19,63,24,63,25
5.6,34.4,25.2,34.0,38.3,11.4,8.2,7.6,13,18,16,21,65,22,56,30
5.9,36.5,25.2,33.6,38.5,11.1,7.6,7.3,12,16,18,19,60,24,52,27
7.2,36.7,25.8,32.8,36.5,11.8,8.0,6.4,11,17,18,19,55,24,54,25
7.2,36.2,25.4,31.7,35.7,12.9,8.0,7.2,11,17,18,20,61,23,55,30
7.8,36.9,25.4,31.0,34.5,13.7,7.9,5.3,12,17,18,17,59,24,53,21
7.7,36.7,25.3,32.2,34.3,12.7,7.8,5.7,12,17,18,18,58,23,52,26
7.7,36.0,26.1,31.2,33.0,13.7,7.3,5.7,12,18,18,18,53,29,50,25
8.1,36.1,25.5,31.0,34.4,14.4,7.4,5.7,12,19,19,18,52,27,52,25
7.1,30.6,24.5,31.9,35.2,13.7,7.9,5.1,14,17,17,20,51,26,53,20
6.6,29.2,24.3,34.8,34.6,16.5,8.1,5.1,14,16,18,20,48,33,54,20
9.3,29.7,25.3,32.7,32.7,18.5,7.5,4.9,16,17,19,17,50,29,49,18
8.1,27.8,25.2,35.6,33.3,15.3,7.2,5.0,16,18,17,19,49,21,48,21
5.0,28.0,25.9,38.2,36.2,13.3,7.1,5.0,12,17,16,16,52,22,44,24
4.9,29.0,26.3,38.3,35.7,14.2,7.7,4.8,11,17,17,16,58,23,45,22
5.4,27.6,27.0,35.9,31.9,17.5,10.4,4.7,14,17,17,15,51,30,60,16
5.2,28.6,26.5,37.5,33.0,15.8,9.7,4.7,14,17,18,15,59,17,56,19
2.7,29.0,24.2,40.0,37.4,11.7,8.9,4.2,9,18,16,18,61,18,62,19
2.9,28.3,24.1,37.6,37.5,13.2,9.1,4.7,12,20,16,19,61,20,64,24
3.0,28.5,23.0,37.0,38.6,14.3,8.6,4.2,12,20,15,19,60,20,61,23
3.1,29.3,22.9,37.0,37.8,13.6,8.8,3.6,13,20,18,18,55,23,59,18
3.6,29.2,23.2,35.9,35.7,15.0,9.8,3.2,14,20,19,18,55,27,65,14
4.2,30.6,23.8,38.0,35.0,10.4,8.2,2.6,15,19,18,18,53,20,56,13
4.5,31.2,23.8,38.8,35.1,10.5,8.3,2.5,14,21,19,18,52,19,60,15
4.6,31.6,21.8,37.2,37.4,9.7,7.9,2.9,19,23,18,19,67,16,61,20
4.6,31.2,21.8,36.7,36.4,10.5,8.6,3.1,16,18,16,18,62,19,57,16
4.1,32.9,27.3,33.3,29.4,14.7,12.5,2.7,14,18,17,18,53,21,55,16
5.2,32.4,29.1,34.2,28.3,14.0,11.8,2.1,13,16,17,17,49,20,48,15
6.0,36.0,30.2,32.9,22.4,9.3,14.3,2.3,16,20,18,13,39,22,49,13
6.2,35.5,31.7,32.0,20.1,10.8,15.2,2.1,11,17,19,13,36,19,47,13
6.1,36.2,35.6,35.2,21.8,8.9,12.0,2.7,11,20,18,14,37,13,37,15
