Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Date,Open,High,Low,Close,PriceDifference,RSI,MA,%K,%D,MACD,Signal Line,Upper Band,Lower Band
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240528,2024-05-31,023651,NYME,1,23,1501651,212580,347217,219463,24031,146580,215208,172002,453563,58819,177448,144023,1450236,1464864,51415,36787,1501651,212580,347217,219463,24031,146580,215208,172002,453563,58819,177448,144023,1450236,1464864,51415,36787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28305.0,-17296.0,-13836.0,-12110.0,501.0,-2835.0,-3514.0,-30151.0,23414.0,-14339.0,-2374.0,-108.0,-26788.0,-25389.0,-1517.0,-2916.0,100,14.2,23.1,14.6,1.6,9.8,14.3,11.5,30.2,3.9,11.8,9.6,96.6,97.6,3.4,2.4,100,14.2,23.1,14.6,1.6,9.8,14.3,11.5,30.2,3.9,11.8,9.6,96.6,97.6,3.4,2.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,45.0,40.0,21.0,14.0,32.0,77.0,49.0,88.0,42.0,49.0,65.0,284,251.0,312.0,45.0,40.0,21.0,14.0,32.0,77.0,49.0,88.0,42.0,49.0,65.0,284.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,28.6,27.6,40.4,8.3,16.0,14.4,21.3,15.5,28.6,27.6,40.4,8.3,16.0,14.4,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-05-31,2.57,2.624,2.518,2.587,1.0,57.54587800351952,2.01075,83.36314847942755,94.45438282647586,-0.010776727040674228,0.04306181315709862,2.6905855451290437,1.330914454870956
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240521,2024-05-24,023651,NYME,1,23,1529956,229876,361053,231573,23530,149415,218722,202153,430149,73158,179822,144131,1477024,1490253,52932,39703,1529956,229876,361053,231573,23530,149415,218722,202153,430149,73158,179822,144131,1477024,1490253,52932,39703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16234.0,-14233.0,18570.0,5469.0,543.0,-374.0,3602.0,-24047.0,-10766.0,-2528.0,-1416.0,4440.0,-14390.0,-13050.0,-1844.0,-3184.0,100,15.0,23.6,15.1,1.5,9.8,14.3,13.2,28.1,4.8,11.8,9.4,96.5,97.4,3.5,2.6,100,15.0,23.6,15.1,1.5,9.8,14.3,13.2,28.1,4.8,11.8,9.4,96.5,97.4,3.5,2.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,44.0,40.0,22.0,15.0,34.0,69.0,66.0,91.0,42.0,56.0,70.0,291,268.0,326.0,44.0,40.0,22.0,15.0,34.0,69.0,66.0,91.0,42.0,56.0,70.0,291.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,28.3,26.6,39.2,8.8,15.7,15.0,20.4,14.7,28.3,26.6,39.2,8.8,15.7,15.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-05-24,2.938,2.965,2.759,2.773,0.0,62.64743877608964,2.01225,100.0,100.0,-0.04617918091273232,0.01651463500686334,2.6975494351298743,1.3269505648701254
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240514,2024-05-17,023651,NYME,1,23,1546190,244109,342483,226104,22987,149789,215120,226200,440915,75686,181238,139691,1491414,1503303,54776,42887,1546190,244109,342483,226104,22987,149789,215120,226200,440915,75686,181238,139691,1491414,1503303,54776,42887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13962.0,3855.0,26082.0,6322.0,-70.0,13627.0,1665.0,-43284.0,-26513.0,-5104.0,20709.0,-3470.0,-9618.0,-12919.0,-4344.0,-1043.0,100,15.8,22.2,14.6,1.5,9.7,13.9,14.6,28.5,4.9,11.7,9.0,96.5,97.2,3.5,2.8,100,15.8,22.2,14.6,1.5,9.7,13.9,14.6,28.5,4.9,11.7,9.0,96.5,97.2,3.5,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,47.0,43.0,21.0,15.0,33.0,70.0,64.0,96.0,46.0,50.0,68.0,296,273.0,332.0,47.0,43.0,21.0,15.0,33.0,70.0,64.0,96.0,46.0,50.0,68.0,296.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,25.8,27.0,36.5,8.8,13.1,15.2,18.1,15.3,25.8,27.0,36.5,8.8,13.1,15.2,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-05-17,2.487,2.654,2.485,2.626,1.0,60.04820816390429,2.00465,100.0,100.0,-0.10963207031433697,-0.017678135756320885,2.6570058199244677,1.352294180075532
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240507,2024-05-10,023651,NYME,1,23,1560152,240254,316401,219782,23057,136162,213455,269484,467428,80790,160529,143161,1501032,1516222,59120,43930,1560152,240254,316401,219782,23057,136162,213455,269484,467428,80790,160529,143161,1501032,1516222,59120,43930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.0,-5448.0,-796.0,-3345.0,4449.0,2793.0,-13909.0,-61680.0,30376.0,-3923.0,29383.0,-6582.0,-38.0,-2057.0,719.0,2738.0,100,15.4,20.3,14.1,1.5,8.7,13.7,17.3,30.0,5.2,10.3,9.2,96.2,97.2,3.8,2.8,100,15.4,20.3,14.1,1.5,8.7,13.7,17.3,30.0,5.2,10.3,9.2,96.2,97.2,3.8,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,44.0,42.0,21.0,15.0,33.0,69.0,69.0,97.0,45.0,53.0,68.0,298,274.0,336.0,44.0,42.0,21.0,15.0,33.0,69.0,69.0,97.0,45.0,53.0,68.0,298.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,24.0,26.9,35.3,8.5,11.5,14.7,16.9,15.1,24.0,26.9,35.3,8.5,11.5,14.7,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-05-10,2.307,2.344,2.242,2.252,1.0,52.18806770427643,1.9896999999999998,100.0,85.15901060070674,-0.17405910994599494,-0.057253988458960244,2.594037340441977,1.3853626595580224
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240430,2024-05-03,023651,NYME,1,23,1559471,245702,317197,223127,18608,133369,227364,331164,437052,84713,131146,149743,1501070,1518279,58401,41192,1559471,245702,317197,223127,18608,133369,227364,331164,437052,84713,131146,149743,1501070,1518279,58401,41192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16492.0,10149.0,-6156.0,2324.0,616.0,3480.0,2528.0,17315.0,3649.0,3295.0,6263.0,-7401.0,18024.0,17766.0,-1532.0,-1274.0,100,15.8,20.3,14.3,1.2,8.6,14.6,21.2,28.0,5.4,8.4,9.6,96.3,97.4,3.7,2.6,100,15.8,20.3,14.3,1.2,8.6,14.6,21.2,28.0,5.4,8.4,9.6,96.3,97.4,3.7,2.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339,42.0,42.0,24.0,12.0,30.0,63.0,83.0,94.0,51.0,45.0,65.0,290,276.0,339.0,42.0,42.0,24.0,12.0,30.0,63.0,83.0,94.0,51.0,45.0,65.0,290.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,22.4,26.5,34.6,9.4,11.6,15.5,16.4,14.7,22.4,26.5,34.6,9.4,11.6,15.5,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-05-03,2.031,2.16,2.012,2.142,1.0,49.47317643486502,2.0076,100.0,59.238844711645044,-0.21567967165846103,-0.09532665932743317,2.66364473531665,1.3515552646833502
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240423,2024-04-26,023651,NYME,1,23,1542979,235553,323353,220803,17992,129889,224836,313849,433403,81418,124883,157144,1483046,1500513,59933,42466,1542979,235553,323353,220803,17992,129889,224836,313849,433403,81418,124883,157144,1483046,1500513,59933,42466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39473.0,-1610.0,-4450.0,6114.0,-289.0,-13089.0,4769.0,-22152.0,-3754.0,-20243.0,7281.0,-2868.0,-30681.0,-39321.0,-8792.0,-152.0,100,15.3,21.0,14.3,1.2,8.4,14.6,20.3,28.1,5.3,8.1,10.2,96.1,97.2,3.9,2.8,100,15.3,21.0,14.3,1.2,8.4,14.6,20.3,28.1,5.3,8.1,10.2,96.1,97.2,3.9,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,41.0,40.0,23.0,13.0,30.0,61.0,82.0,95.0,49.0,45.0,66.0,288,273.0,334.0,41.0,40.0,23.0,13.0,30.0,61.0,82.0,95.0,49.0,45.0,66.0,288.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,23.1,26.5,35.1,9.5,12.7,15.7,17.2,14.4,23.1,26.5,35.1,9.5,12.7,15.7,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-04-26,1.977,2.002,1.909,1.923,1.0,43.54707104394206,2.0250500000000002,55.477031802120166,31.229585452385788,-0.25446548429279403,-0.13208851738621327,2.7138929581932905,1.3362070418067098
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240416,2024-04-19,023651,NYME,1,23,1582452,237163,327803,214689,18281,142978,220067,336001,437157,101661,117602,160012,1513727,1539834,68725,42618,1582452,237163,327803,214689,18281,142978,220067,336001,437157,101661,117602,160012,1513727,1539834,68725,42618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32407.0,9706.0,10666.0,4294.0,820.0,5387.0,-8336.0,19051.0,9571.0,9884.0,-13525.0,1472.0,31978.0,33442.0,429.0,-1035.0,100,15.0,20.7,13.6,1.2,9.0,13.9,21.2,27.6,6.4,7.4,10.1,95.7,97.3,4.3,2.7,100,15.0,20.7,13.6,1.2,9.0,13.9,21.2,27.6,6.4,7.4,10.1,95.7,97.3,4.3,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358,42.0,41.0,28.0,11.0,29.0,58.0,86.0,97.0,73.0,40.0,71.0,314,279.0,358.0,42.0,41.0,28.0,11.0,29.0,58.0,86.0,97.0,73.0,40.0,71.0,314.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,22.6,25.3,34.5,8.8,12.9,14.5,17.5,13.8,22.6,25.3,34.5,8.8,12.9,14.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-04-19,1.741,1.806,1.724,1.752,1.0,38.300225718341714,2.05795,22.23950233281494,18.534342967621093,-0.27797078719272084,-0.16477461427701143,2.787898080345344,1.3280019196546562
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240409,2024-04-12,023651,NYME,1,23,1550045,227457,317137,210395,17461,137591,228403,316950,427586,91777,131127,158540,1481749,1506392,68296,43653,1550045,227457,317137,210395,17461,137591,228403,316950,427586,91777,131127,158540,1481749,1506392,68296,43653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40026.0,9620.0,9067.0,7390.0,719.0,-28329.0,-20448.0,-15587.0,-1716.0,-3565.0,741.0,-3596.0,-40644.0,-38701.0,618.0,-1325.0,100,14.7,20.5,13.6,1.1,8.9,14.7,20.4,27.6,5.9,8.5,10.2,95.6,97.2,4.4,2.8,100,14.7,20.5,13.6,1.1,8.9,14.7,20.4,27.6,5.9,8.5,10.2,95.6,97.2,4.4,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356,41.0,41.0,25.0,13.0,31.0,62.0,82.0,98.0,69.0,43.0,73.0,310,285.0,356.0,41.0,41.0,25.0,13.0,31.0,62.0,82.0,98.0,69.0,43.0,73.0,310.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,23.3,25.9,34.6,9.2,13.1,15.1,17.9,14.1,23.3,25.9,34.6,9.2,13.1,15.1,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-04-12,1.767,1.785,1.731,1.77,1.0,38.6513559538822,2.1110499999999996,15.972222222222227,18.631056946274345,-0.2865179805349145,-0.19141136718042823,2.8994566476794295,1.3226433523205698
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240402,2024-04-05,023651,NYME,1,23,1590071,217837,308070,203005,16742,165920,248851,332537,429302,95342,130386,162136,1522393,1545093,67678,44978,1590071,217837,308070,203005,16742,165920,248851,332537,429302,95342,130386,162136,1522393,1545093,67678,44978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46328.0,10098.0,6253.0,1935.0,2109.0,13847.0,5033.0,2622.0,18702.0,-6585.0,-2717.0,2841.0,45871.0,43657.0,457.0,2671.0,100,13.7,19.4,12.8,1.1,10.4,15.7,20.9,27.0,6.0,8.2,10.2,95.7,97.2,4.3,2.8,100,13.7,19.4,12.8,1.1,10.4,15.7,20.9,27.0,6.0,8.2,10.2,95.7,97.2,4.3,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349,45.0,42.0,26.0,13.0,31.0,55.0,86.0,93.0,65.0,42.0,67.0,302,277.0,349.0,45.0,42.0,26.0,13.0,31.0,55.0,86.0,93.0,65.0,42.0,67.0,302.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,22.7,26.4,33.5,9.5,12.6,15.2,17.6,14.8,22.7,26.4,33.5,9.5,12.6,15.2,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-04-05,1.779,1.823,1.755,1.785,1.0,38.92751395722753,2.1725000000000003,17.391304347826082,19.993412384716745,-0.29509250032026135,-0.2136777263600331,3.036900857302397,1.3080991426976039
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,240326,2024-03-29,023651,NYME,1,23,1543743,207739,301817,201070,14633,152073,243818,329915,410600,101927,133103,159295,1476522,1501436,67221,42307,1543743,207739,301817,201070,14633,152073,243818,329915,410600,101927,133103,159295,1476522,1501436,67221,42307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46760.0,-12365.0,-24719.0,8935.0,836.0,-1576.0,13694.0,11626.0,-26532.0,-18214.0,-2468.0,-6274.0,-42332.0,-49107.0,-4428.0,2347.0,100,13.5,19.6,13.0,0.9,9.9,15.8,21.4,26.6,6.6,8.6,10.3,95.6,97.3,4.4,2.7,100,13.5,19.6,13.0,0.9,9.9,15.8,21.4,26.6,6.6,8.6,10.3,95.6,97.3,4.4,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349,43.0,41.0,26.0,12.0,31.0,53.0,88.0,91.0,66.0,43.0,67.0,299,276.0,349.0,43.0,41.0,26.0,12.0,31.0,53.0,88.0,91.0,66.0,43.0,67.0,299.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,23.4,26.9,34.6,9.7,13.1,15.3,18.3,15.3,23.4,26.9,34.6,9.7,13.1,15.3,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2024-04-01,1.755,1.853,1.706,1.837,1.0,39.84390794017518,2.2398,22.5296442687747,15.711462450592897,-0.3032717237507183,-0.23263892897580296,3.183156515740115,1.2964434842598846
